hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\helpdesk,null,764422,Andrey_ITSM365,2023-09-29T12:17:02.000Z,716,,716,3,0,/ru/hubs/helpdesk/
D:\untitled3\.\hubs\helpdesk,null,760848,Andrey_ITSM365,2023-09-13T14:37:28.000Z,826,,826,4,0,/ru/hubs/helpdesk/
D:\untitled3\.\hubs\helpdesk,null,753850,u2mario,2023-08-10T15:30:37.000Z,1.3K,,1.3K,17,2,/ru/hubs/helpdesk/
D:\untitled3\.\hubs\helpdesk,null,750256,mawrik,2023-07-25T12:46:35.000Z,4.8K,,4.8K,11,11,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\helpdesk,null,746496,AMukoseev,2023-07-07T08:00:52.000Z,3.2K,,3.2K,13,3,/ru/companies/k2tech/articles/
D:\untitled3\.\hubs\helpdesk,null,744192,Axelus,2023-06-27T10:18:26.000Z,2.6K,,2.6K,14,0,/ru/companies/regionsoft/articles/
D:\untitled3\.\hubs\helpdesk,null,737900,DmitryDm12,2023-06-01T08:44:01.000Z,9.9K,,9.9K,22,3,/ru/hubs/helpdesk/
D:\untitled3\.\hubs\helpdesk,null,736704,Serega_Enot,2023-05-22T10:34:53.000Z,7K,,7K,26,1,/ru/companies/tinkoff/articles/
D:\untitled3\.\hubs\helpdesk,null,732038,KirVorobev,2023-04-28T09:55:46.000Z,1.2K,,1.2K,5,4,/ru/companies/mkb/articles/
D:\untitled3\.\hubs\helpdesk,null,727180,telecomgod,2023-04-06T06:00:02.000Z,2.2K,,2.2K,20,1,/ru/companies/ru_mts/articles/
D:\untitled3\.\hubs\helpdesk,null,712988,Arenadata,2023-01-30T08:00:03.000Z,3.9K,,3.9K,22,11,/ru/companies/arenadata/articles/
D:\untitled3\.\hubs\helpdesk,null,703626,Grizm,2022-12-06T06:52:32.000Z,3.1K,,3.1K,23,1,/ru/companies/okdesk/articles/
D:\untitled3\.\hubs\helpdesk,null,702892,Axelus,2022-12-01T11:47:40.000Z,3.4K,,3.4K,30,5,/ru/companies/regionsoft/articles/
D:\untitled3\.\hubs\helpdesk,null,701310,Grizm,2022-11-24T10:52:49.000Z,3.3K,,3.3K,13,20,/ru/companies/okdesk/articles/
D:\untitled3\.\hubs\helpdesk,null,697886,OkHelpDesk,2022-11-09T08:56:49.000Z,1.9K,,1.9K,27,0,/ru/companies/okdesk/articles/
D:\untitled3\.\hubs\helpdesk,null,695042,Andrei_B,2022-11-08T14:35:40.000Z,1.8K,,1.8K,20,1,/ru/hubs/helpdesk/
D:\untitled3\.\hubs\helpdesk,null,696020,Mikhairu,2022-10-28T10:11:57.000Z,1.6K,,1.6K,28,1,/ru/companies/lightmap/articles/
D:\untitled3\.\hubs\helpdesk,null,695786,Okdesk,2022-10-27T11:14:07.000Z,3.1K,,3.1K,27,7,/ru/companies/okdesk/articles/
D:\untitled3\.\hubs\helpdesk,null,694038,OkHelpDesk,2022-10-18T09:57:37.000Z,6.2K,,6.2K,36,26,/ru/companies/okdesk/articles/
D:\untitled3\.\hubs\helpdesk,null,688560,uwriter,2022-09-16T10:47:51.000Z,2K,,2K,10,15,/ru/companies/kts/articles/
D:\untitled3\.\hubs\helpdesk,null,683226,YremeY,2022-08-18T03:38:33.000Z,2.9K,,2.9K,19,1,/ru/hubs/saas/
D:\untitled3\.\hubs\helpdesk,null,675492,Oltrs,2022-07-06T16:06:37.000Z,24K,,24K,93,28,/ru/hubs/webdev/
D:\untitled3\.\hubs\helpdesk,null,665234,DmitryDm12,2022-05-19T12:11:31.000Z,2.8K,,2.8K,15,6,/ru/hubs/helpdesk/
D:\untitled3\.\hubs\helpdesk,null,663180,Andrei_B,2022-05-11T10:59:51.000Z,2.2K,,2.2K,15,1,/ru/hubs/helpdesk/
D:\untitled3\.\hubs\helpdesk,null,651387,avBaga,2022-02-14T09:53:43.000Z,1.4K,,1.4K,6,2,/ru/hubs/mobile_dev/
D:\untitled3\.\hubs\helpdesk,null,647525,DmitryDm12,2022-01-25T11:38:22.000Z,3.3K,,3.3K,9,0,/ru/hubs/helpdesk/
D:\untitled3\.\hubs\helpdesk,null,600055,a_kokorev,2022-01-11T10:27:35.000Z,5.3K,,5.3K,20,11,/ru/companies/playrix/articles/
D:\untitled3\.\hubs\helpdesk,null,593723,Andrei_B,2021-12-07T10:09:07.000Z,1.9K,,1.9K,15,1,/ru/hubs/helpdesk/
D:\untitled3\.\hubs\helpdesk,null,590573,zamsisadmin,2021-11-21T17:48:38.000Z,4.6K,,4.6K,29,13,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\helpdesk,null,582754,Andrei_B,2021-10-12T06:44:59.000Z,5K,,5K,8,0,/ru/hubs/helpdesk/
D:\untitled3\.\hubs\helpdesk,null,580854,cface,2021-09-30T08:16:35.000Z,1.6K,,1.6K,13,3,/ru/companies/dataline/articles/
D:\untitled3\.\hubs\helpdesk,null,577772,Andrei_B,2021-09-14T13:49:26.000Z,2.4K,,2.4K,18,2,/ru/companies/hubex/articles/
D:\untitled3\.\hubs\helpdesk,null,577342,DmitryDm12,2021-09-13T08:19:22.000Z,2.1K,,2.1K,7,4,/ru/companies/hubex/articles/
D:\untitled3\.\hubs\helpdesk,null,575314,kadim,2021-08-30T12:44:23.000Z,8K,,8K,12,4,/ru/companies/quadcode/articles/
D:\untitled3\.\hubs\helpdesk,null,573588,Andrei_B,2021-08-20T07:09:08.000Z,1K,,1K,7,0,/ru/companies/hubex/articles/
D:\untitled3\.\hubs\helpdesk,null,572734,Andrei_B,2021-08-13T08:29:31.000Z,2.6K,,2.6K,11,2,/ru/companies/hubex/articles/
D:\untitled3\.\hubs\helpdesk,null,572228,Andrei_B,2021-08-11T08:51:57.000Z,1.8K,,1.8K,11,4,/ru/companies/hubex/articles/
D:\untitled3\.\hubs\helpdesk,null,569020,Andrei_B,2021-07-22T09:10:58.000Z,1.2K,,1.2K,9,0,/ru/companies/hubex/articles/
D:\untitled3\.\hubs\helpdesk,null,568622,Andrei_B,2021-07-20T10:32:31.000Z,1.4K,,1.4K,8,3,/ru/companies/hubex/articles/
D:\untitled3\.\hubs\helpdesk,null,567504,Andrei_B,2021-07-14T06:36:08.000Z,4.2K,,4.2K,12,5,/ru/companies/hubex/articles/
D:\untitled3\.\hubs\helpdesk,null,567426,GalsSoftware,2021-07-13T06:50:28.000Z,455,,455,4,0,/ru/companies/galssoftware/articles/
D:\untitled3\.\hubs\helpdesk,null,566454,Andrei_B,2021-07-07T14:07:42.000Z,7.2K,,7.2K,19,2,/ru/companies/hubex/articles/
D:\untitled3\.\hubs\helpdesk,null,564434,Andrei_B,2021-07-05T06:31:03.000Z,2K,,2K,8,2,/ru/companies/hubex/articles/
D:\untitled3\.\hubs\helpdesk,null,559758,Andrei_B,2021-05-28T06:56:21.000Z,3.5K,,3.5K,13,2,/ru/hubs/helpdesk/
D:\untitled3\.\hubs\helpdesk,null,549734,Darya_Rys,2021-03-30T11:43:07.000Z,33K,,33K,30,6,/ru/hubs/css/
D:\untitled3\.\hubs\helpdesk,null,541610,NuGan,2021-02-09T11:53:59.000Z,4.1K,,4.1K,22,6,/ru/hubs/sys_admin/
D:\untitled3\.\hubs\helpdesk,null,535000,Plarium,2020-12-25T11:59:55.000Z,4.2K,,4.2K,18,7,/ru/companies/plarium/articles/
D:\untitled3\.\hubs\helpdesk,null,529592,OkHelpDesk,2020-11-24T09:08:34.000Z,2.5K,,2.5K,17,0,/ru/companies/okdesk/articles/
D:\untitled3\.\hubs\helpdesk,null,528370,Andrei_B,2020-11-17T13:16:13.000Z,5K,,5K,19,10,/ru/hubs/sys_admin/
D:\untitled3\.\hubs\helpdesk,null,526182,varenich,2020-11-02T18:18:40.000Z,5.1K,,5.1K,29,15,/ru/hubs/helpdesk/
D:\untitled3\.\hubs\helpdesk,null,525602,it-guild,2020-10-29T10:54:04.000Z,15K,,15K,23,0,/ru/companies/it-guild/articles/
D:\untitled3\.\hubs\helpdesk,null,523290,OkHelpDesk,2020-10-13T12:47:46.000Z,10K,,10K,11,4,/ru/companies/okdesk/articles/
D:\untitled3\.\hubs\helpdesk,null,515504,Ramapriya,2020-08-17T17:06:11.000Z,7.1K,,7.1K,14,0,/ru/hubs/php/
D:\untitled3\.\hubs\helpdesk,null,514726,it-guild,2020-08-11T11:10:15.000Z,5K,,5K,20,1,/ru/companies/it-guild/articles/
D:\untitled3\.\hubs\helpdesk,null,511082,mashavostr,2020-07-15T11:15:14.000Z,2.6K,,2.6K,15,6,/ru/hubs/helpdesk/
D:\untitled3\.\hubs\helpdesk,null,497902,VikingRock,2020-06-19T05:29:03.000Z,9.6K,,9.6K,74,3,/ru/hubs/helpdesk/
D:\untitled3\.\hubs\helpdesk,null,507312,mintsev,2020-06-18T19:50:50.000Z,599,,599,1,0,/ru/hubs/helpdesk/
D:\untitled3\.\hubs\helpdesk,null,505406,AkshinM,2020-06-07T16:31:03.000Z,6.4K,,6.4K,35,6,/ru/hubs/webdev/
D:\untitled3\.\hubs\helpdesk,null,505322,DashaV,2020-06-04T10:26:08.000Z,2.2K,,2.2K,7,0,/ru/hubs/helpdesk/
D:\untitled3\.\hubs\helpdesk,null,503950,DashaV,2020-05-26T15:20:09.000Z,7.4K,,7.4K,9,0,/ru/hubs/erp/
D:\untitled3\.\hubs\helpdesk,null,503744,GalsSoftware,2020-05-25T13:41:05.000Z,2.5K,,2.5K,13,0,/ru/companies/galssoftware/articles/
D:\untitled3\.\hubs\helpdesk,null,501554,evgentrigub,2020-05-12T10:16:19.000Z,4.1K,,4.1K,16,0,/ru/companies/variti/articles/
D:\untitled3\.\hubs\helpdesk,null,498942,it-guild,2020-04-24T15:16:51.000Z,8.1K,,8.1K,18,0,/ru/companies/it-guild/articles/
D:\untitled3\.\hubs\helpdesk,null,498124,leksunin,2020-04-20T11:44:57.000Z,20K,,20K,31,8,/ru/companies/variti/articles/
D:\untitled3\.\hubs\helpdesk,null,496052,DashaV,2020-04-07T08:20:00.000Z,1.3K,,1.3K,12,0,/ru/hubs/helpdesk/
D:\untitled3\.\hubs\helpdesk,null,493362,mashavostr,2020-03-20T15:14:54.000Z,3.6K,,3.6K,19,4,/ru/hubs/helpdesk/
D:\untitled3\.\hubs\helpdesk,null,491390,it-guild,2020-03-06T13:12:18.000Z,26K,,26K,61,0,/ru/companies/it-guild/articles/
D:\untitled3\.\hubs\helpdesk,null,491224,DashaV,2020-03-05T14:12:22.000Z,4.8K,,4.8K,21,0,/ru/hubs/helpdesk/
D:\untitled3\.\hubs\helpdesk,null,489990,DashaV,2020-02-26T07:15:19.000Z,3.7K,,3.7K,23,5,/ru/hubs/helpdesk/
D:\untitled3\.\hubs\helpdesk,null,488928,mashavostr,2020-02-18T15:45:03.000Z,7.2K,,7.2K,50,6,/ru/hubs/helpdesk/
D:\untitled3\.\hubs\helpdesk,null,487078,chist-anton,2020-02-05T10:13:55.000Z,77K,,77K,125,266,/ru/companies/yandex/articles/
D:\untitled3\.\hubs\helpdesk,null,483418,ru_vds,2020-01-10T10:00:01.000Z,56K,,56K,76,30,/ru/companies/ruvds/articles/
D:\untitled3\.\hubs\helpdesk,null,482000,Axelus,2019-12-26T08:24:04.000Z,10K,,10K,51,6,/ru/companies/regionsoft/articles/
D:\untitled3\.\hubs\helpdesk,null,479574,zam_moscow,2019-12-10T13:37:37.000Z,9.2K,,9.2K,33,0,/ru/hubs/itstandarts/
D:\untitled3\.\hubs\helpdesk,null,479394,Ilha,2019-12-09T14:43:16.000Z,75K,,75K,72,74,/ru/hubs/it-infrastructure/
D:\untitled3\.\hubs\helpdesk,null,477918,transpond,2019-12-09T13:54:50.000Z,11K,,11K,64,5,/ru/hubs/web_design/
D:\untitled3\.\hubs\helpdesk,null,479158,zam_moscow,2019-12-07T15:20:39.000Z,21K,,21K,96,20,/ru/hubs/itstandarts/
D:\untitled3\.\hubs\helpdesk,null,477406,OkHelpDesk,2019-11-29T06:51:39.000Z,7.2K,,7.2K,17,9,/ru/companies/okdesk/articles/
D:\untitled3\.\hubs\helpdesk,null,476352,OkHelpDesk,2019-11-18T14:59:14.000Z,3.2K,,3.2K,16,5,/ru/companies/okdesk/articles/
D:\untitled3\.\hubs\helpdesk,null,474748,OkHelpDesk,2019-11-07T11:18:10.000Z,4.5K,,4.5K,19,0,/ru/companies/okdesk/articles/
D:\untitled3\.\hubs\helpdesk,null,474652,Axelus,2019-11-06T12:18:41.000Z,88K,,88K,264,111,/ru/companies/regionsoft/articles/
D:\untitled3\.\hubs\helpdesk,null,473568,krubinshteyn,2019-10-29T08:39:26.000Z,2.9K,,2.9K,23,18,/ru/companies/okdesk/articles/
D:\untitled3\.\hubs\helpdesk,null,471568,Axelus,2019-10-15T12:30:40.000Z,8.9K,,8.9K,33,14,/ru/companies/regionsoft/articles/
D:\untitled3\.\hubs\helpdesk,null,471414,OkHelpDesk,2019-10-15T07:05:35.000Z,2.3K,,2.3K,10,0,/ru/companies/okdesk/articles/
D:\untitled3\.\hubs\helpdesk,null,470672,kfedulov,2019-10-08T14:28:33.000Z,4.9K,,4.9K,42,8,/ru/companies/okdesk/articles/
D:\untitled3\.\hubs\helpdesk,null,469655,Axelus,2019-10-01T12:13:03.000Z,16K,,16K,36,57,/ru/companies/regionsoft/articles/
D:\untitled3\.\hubs\helpdesk,null,469183,Boomburum,2019-09-27T12:26:25.000Z,3.3K,,3.3K,4,189,/ru/companies/habr/articles/
D:\untitled3\.\hubs\helpdesk,null,468945,OkHelpDesk,2019-09-26T09:18:10.000Z,31K,,31K,52,21,/ru/companies/okdesk/articles/
D:\untitled3\.\hubs\helpdesk,null,468005,Stormglass,2019-09-19T10:10:12.000Z,1.2K,,1.2K,8,0,/ru/companies/qiwi/articles/
D:\untitled3\.\hubs\helpdesk,null,467739,Axelus,2019-09-17T12:19:16.000Z,9.2K,,9.2K,25,14,/ru/companies/regionsoft/articles/
D:\untitled3\.\hubs\helpdesk,null,465951,Axelus,2019-09-03T11:26:34.000Z,10K,,10K,27,31,/ru/companies/regionsoft/articles/
D:\untitled3\.\hubs\helpdesk,null,462135,it-guild,2019-08-01T08:14:14.000Z,1.5K,,1.5K,9,1,/ru/companies/it-guild/articles/
D:\untitled3\.\hubs\helpdesk,null,461157,itglobalcom,2019-07-24T10:57:37.000Z,3.3K,,3.3K,6,0,/ru/companies/itglobalcom/articles/
D:\untitled3\.\hubs\helpdesk,null,459230,gri5ha,2019-07-16T11:41:34.000Z,1.7K,,1.7K,6,2,/ru/companies/qiwi/articles/
D:\untitled3\.\hubs\helpdesk,null,459030,it-guild,2019-07-06T14:41:28.000Z,8.5K,,8.5K,65,37,/ru/companies/it-guild/articles/
D:\untitled3\.\hubs\helpdesk,null,456976,VikKostousov,2019-06-21T09:56:03.000Z,5.5K,,5.5K,30,11,/ru/companies/gett/articles/
D:\untitled3\.\hubs\helpdesk,null,455740,VTB,2019-06-13T07:00:03.000Z,4.2K,,4.2K,27,2,/ru/companies/vtb/articles/
D:\untitled3\.\hubs\helpdesk,null,455341,it-guild,2019-06-08T16:45:02.000Z,11K,,11K,39,2,/ru/companies/it-guild/articles/
