hub_id,flow,article_id,author,pub_datetime,rating,rating_des,views,bookmarks,comments,company_link
D:\untitled3\.\hubs\cpu,popsci,776488,RadioCaroline,2023-11-26T15:22:37.000Z,658,,658,6,1,without_company
D:\untitled3\.\hubs\cpu,popsci,775692,andreev_dew,2023-11-22T13:54:34.000Z,4.1K,,4.1K,7,6,without_company
D:\untitled3\.\hubs\cpu,popsci,775686,Yura_FX,2023-11-22T13:16:09.000Z,5.7K,,5.7K,35,27,without_company
D:\untitled3\.\hubs\cpu,popsci,775488,rcl,2023-11-21T19:03:15.000Z,12K,,12K,43,29,without_company
D:\untitled3\.\hubs\cpu,popsci,774876,Seleditor,2023-11-19T01:16:54.000Z,18K,,18K,8,20,without_company
D:\untitled3\.\hubs\cpu,popsci,774766,Albert_Wesker,2023-11-18T08:01:01.000Z,3.5K,,3.5K,30,16,without_company
D:\untitled3\.\hubs\cpu,popsci,767190,PatientZero,2023-11-17T07:57:28.000Z,6.2K,,6.2K,13,11,without_company
D:\untitled3\.\hubs\cpu,popsci,773852,rcl,2023-11-15T17:13:15.000Z,3.8K,,3.8K,20,8,without_company
D:\untitled3\.\hubs\cpu,popsci,774082,ru_vds,2023-11-15T13:00:02.000Z,9K,,9K,75,6,without_company
D:\untitled3\.\hubs\cpu,popsci,772706,EntityFX,2023-11-08T18:38:40.000Z,1.6K,,1.6K,13,0,without_company
D:\untitled3\.\hubs\cpu,popsci,772546,skovalev,2023-11-08T12:37:55.000Z,8.3K,,8.3K,9,6,without_company
D:\untitled3\.\hubs\cpu,popsci,772062,Seleditor,2023-11-06T01:58:12.000Z,22K,,22K,24,58,without_company
D:\untitled3\.\hubs\cpu,popsci,770120,Rider_GT,2023-11-05T16:07:15.000Z,55K,,55K,55,80,without_company
D:\untitled3\.\hubs\cpu,popsci,772038,SergiiDia,2023-11-05T16:04:51.000Z,34K,,34K,23,144,without_company
D:\untitled3\.\hubs\cpu,popsci,771478,Mixail_Sviridov,2023-11-02T09:40:12.000Z,3.2K,,3.2K,3,9,without_company
D:\untitled3\.\hubs\cpu,popsci,770188,quanttelecom_ru,2023-10-31T14:46:37.000Z,1.1K,,1.1K,16,0,without_company
D:\untitled3\.\hubs\cpu,popsci,770196,Mixail_Sviridov,2023-10-26T14:53:27.000Z,11K,,11K,14,26,without_company
D:\untitled3\.\hubs\cpu,popsci,769916,Sukhachev_KIR,2023-10-25T14:31:08.000Z,13K,,13K,105,20,without_company
D:\untitled3\.\hubs\cpu,popsci,769542,skovalev,2023-10-24T13:04:48.000Z,12K,,12K,16,12,without_company
D:\untitled3\.\hubs\cpu,popsci,769032,AlexSmithPsy,2023-10-21T17:30:51.000Z,3.5K,,3.5K,50,9,without_company
D:\untitled3\.\hubs\cpu,popsci,766166,skovalev,2023-10-18T12:10:46.000Z,16K,,16K,8,42,without_company
D:\untitled3\.\hubs\cpu,popsci,768202,VSMC,2023-10-18T06:40:18.000Z,1.7K,,1.7K,18,4,without_company
D:\untitled3\.\hubs\cpu,popsci,765280,SergeyNovak,2023-10-06T15:32:34.000Z,20K,,20K,119,33,without_company
D:\untitled3\.\hubs\cpu,popsci,764844,BiktorSergeev,2023-10-02T13:47:01.000Z,4.3K,,4.3K,10,3,without_company
